text,label
sgm balirejo hadir yoan wkwk,0
ga nonton di lolasi,0
udh full po dah lah ga jadi kesana males rame kalo waktu ga rame bgt kayaknya grinning face with sweat,0
tidak tau nanti,0
infoo,0
dari pada langsung sempit sempitan liat dari youtube ajaa,0
pandeyan hadirrrr,0
ini malioboro atau tugu si,0
bg pnonton yg tidak pny tiket gelang mboten pareng masuk area byk yg kecewa,0
jangan lupa klitih sampah parkir liar face with tears of joy,0
nonton streaming saja kalo nonton di tugu dijamin padat sekali mau nonton didepan sudah pasti full belum lagi selesai acara pasti macet total,0
hey,0
kalo yang di vidio skrng di malioboro,0
canda darmo sanjaya aku kelas,0
owhh,0
oke,0
spilll penontonmm,0
hdr,0
oke teman o,0
rumah menit dr tugu terimo di rumah nntn live rolling on the floor laughing,0
jika punya kenalan keamanan yang jaga bisa dicariin tempat yang agak depan face blue smiling face blue smiling,0
wahhh,0
cabut dulu otw ke lokasi,0
rame cah,0
oke lah smiling face with tear pensive face,0
face green smiling face green smiling,0
jogja tetap istimewa,0
hah yg sabar ya mbak mas septiana grinning face with sweat,0
siapa yg masih kelas sd,0
aku kls smp,0
jogja in the best,0
lagu galau,0
is donk ko in sih,0
lagu sukaan aku itu apa lagi lagu gondes grinning face with sweat,0
kelas smp,0
pengen kesituuu smiling face with tear smiling face with tear,0
kamu,0
arif ramadhan,0
sama,0
ya mas mbak,0
agustin jangan lupa ngerjain prnya dulu dek malah nanti lupa loh,0
siapa yg suka freya jkt,0
first partying face,0
ini siapa sih yg nanyi namanya,0
ada tapi pusing gurune riwet,0
saya suka freya oshi ku itu,0
sippp tenannn,0
ruwet,0
apoy,0
reog pnrogo udah tampil to,0
sama arif ramadhan,0
mapel apa kok ruwet,0
aku yg nanya nama,0
absen jogjamu ngndi lur my jambon,0
spill dong yg tinggal di jogja tinggal di kecamatan mana kelurahan mana kayak aku umbulharjo warung boto jl persatuan jl glagahsari yogyakarta,0
guru nya udah umur jadi ruwet murid e,0
nonton live sambil rebahan,0
arep menyang kok aras arasen,0
mergangsan hadirrr lurr,0
ini udh mulai belum ya,0
sendowo c d rt rw sinduadi mlati sleman yogyakarta jln sardjito,0
mergangsan tempat sekolah ku itu mts muhammadiyah karangkkejen yogyakarta grinning face with sweat,0
mangkat saiki delok e adoh,0
belum,0
reog ponorogo udah tampil ya,0
oy bah,0
melatih kesabaran ini namanya,0
face pink tears,0
kabare pie,0
siapa yg lihat kalo aku ga boleh,0
info link gacor,1
selamat ultah jogja salam dari bantul folded hands,0
kotagede raised fist,0
malah lali acarane saiki loudly crying face saiki mesti wes macet puol,0
aku nunggu kancaku tampil,0
wayang nya dah mulai blum ya,0
bye aku keluar ya paketan mau habis face with hand over mouth grinning face with sweat rolling on the floor laughing,0
sugeng ambalwarso jogjakarta tercintakuuh,0
rumah aku di jogja,0
taun wingi okeh seng semaput sumuuuuuuk e pool,0
lah knp emang mbak mas pipiet agustin kalo aku nyuman ga ada yg nganter,0
karnaval lek,0
gunungkidul hadir,0
morning kawan kawan,0
putriku ikut wjnc pawitikra is the best,0
azky beda outfit,0
pengen ndelok tapi ada sesuatu yg gak bisa di tinggal smiling face with tear smiling face with tear smiling face with tear,0
sumuk polll,0
turi hadir index pointing up memantau lewat tv saja g deseg kan,0
joogja istimewa,0
punya ank bayi yg nggk bisa antengg mending live streaming aja ya,0
yahh sayang lagi gak di jogja loudly crying face loudly crying face,0
nitip sendal,0
reog ponorogo lg mau perform barusan jalan dari arah barat tugu,0
ssk stand by ket jam kudune,0
salam buat kak yoko,0
ini blm mulai kah,0
hand pink waving,0
smga ultah jogja tahun bsk pas week and wkwk,0
omagaa,0
dari griya intan permai index pointing up,0
aq ex wong kemetiran lor yg skrg di delanggu pengen nonton di tugu tapi ga memungkinkan,0
darmo sanjaya udah besar,0
amit amit amit jupuk sendal mba mas lek amit amit,0
mulai belum ya,0
salam dari bangka belitung,0
biyuh ameh delok kok iseh nyambut gawe,0
rumahku deket tuguu bngt tpi males ksitu,0
gayeng,0
ini kayaknya kalau dipurwokerto kaya festival kentongan,0
kapan mulai moai,0
selamat ulang tahun jogja,0
jogja istimewa red heart red heart red heart red heart red heart,0
lah udah mulai,0
selamat ulang tahun jogjaku istimewa love jogja,0
semangat kemantren gk,0
padet banget gays,0
yg dekat merapat yg jauh nonton di sini cepattttt,0
woi suruh mba di depan duduk,0
jnnnn,0
semangat mantrijeron,0
jogja istimewa,0
urutan ke brp ini,0
sendal gua ilang woyy,0
wo raiso lungguh ki seng ngarep,0
pada kangen jogja kan kalian yg dah lulus kuliah hehehehhe,0
mba baju hitem suruh duduk woiiii,0
yang depan duduk woi,0
ra iso ndelok nng tugu,0
selamat ulang tahun jogja semoga semakin istimewa,0
amit mas golek sendal,0
iyaa woi depan duduk,0
nonton sambil tiduran moai,0
sek mas golek i sendal,0
nonton dirumah aja mending kalo disana ramee bgtt,0
kira yg belakang kelihatan gak ya nonton nya,0
mabar ff,0
wah aku ra bisa nonton neng jogja,0
penak neng omah,0
nonton streaming malah keliatan semuaa hehehhe,0
di sediakan toilet bos di setiap sisi,0
tinggal duduk rebahan mlh enak,0
aku liat di genteng rumah ada yg bisa liat gk,0
yg belakang bisa liat via vidio tron,0
halo,0
sangat jelas terlihat di streaming orang lihat berjubel,0
itulah yogyakarta tiap ada hajat g pernah egois cuma menonjolkan budaya jawa tapi mengajak semua budaya dr sabang sampai merauke untuk perform,0
aki nonton di depan sendiri,0
jogja rumah segala suku,0
bagus tapi malas desak desakan,0
jogja istimewa hand purple blue peace,0
seru juga nonton dri hp,0
nunggu kembang api doang,0
maul gak perform awwokawoak,0
salam buat paman santo di samas person turqouise waving,0
wayang kulite jam berapa,0
mau pulang nggk bisa ini woy,0
pengen ikutan jadi talent tapi ngga tau infonya,0
ntn di hp aja pasti sdh gk bisa masuk,0
jogja emang istimewa tiap tahun gak ada habisnya event kesenian seperti ini salam budaya teman,0
kita yg warga jogja tapi ga kesana grinning face with sweat,0
hallo jogja ku,0
aku nonton depan sendiri,0
wayang kulite jam berapa,0
yang penting jangan lupa sholat y,0
selamat ulang tahun jogja jogja memang istimewa smiling face with heart eyes pengen nonton tapi aku di kalimantan pleading face tapi anak ku ada ikut meriahkan ultah jogja mantrijeron semangat folded hands folded hands,0
bantul mati lampu,0
aku ning blunyahrejo,0
yg blm trllu padet daerah mn,0
yg tinggal di jogja ga jadi kesana ingat masih ada tahun depan grinning face with sweat,0
tugunya gk ketok face with hand over mouth,0
welcome culture,0
aku nonton depan sendiri,0
rumah kuzu,0
nonton di youtube lebih jelas dari pada langsung berjubel,0
face blue wide eyes face blue wide eyes face blue wide eyes face blue wide eyes face blue wide eyes face blue wide eyes face blue wide eyes face blue wide eyes,0
ini urutan ke brp sih,0
aku,0
tim nonton di rumah sambil rebahan,0
uni drno,0
info susunan acara cuy,0
aku nonton depan sendiri,0
aku males mau ke sana face blue smiling,0
akuu ditinggal kakakku,0
dari mno,0
ya itu bener itu mbak mas za saputra,0
dah mulai ta,0
rame banget,0
yg sabar ya mbak its chaa,0
videonya lebih clear di youtubenya dinas pariwisata,0
nonton di youtube aja sambil rebahan,0
males nonton langsung gak temennya,0
aku nonton depan sendiri,0
muluncur broooo jgn lupa mbawa sarung dan topi grinning face with sweat,0
live di home teather grinning face,0
nek aku ora try out aku mangkat delok cah slightly smiling face,0
fulll g bisa jln k arah tugu,0
mending di live dari pada langsung gak keliatan kebagian suaranya doang,0
nonton dr rmh saja sambil rebahan,0
aku nonton depan sendiri,0
enakan streaming to yaa nggak capek dan bisa sambil rebahan,0
jetis jam brp to tolong jawab,0
p mantaff,0
elamat hut yogya lkn jatim,0
ini urutan berapa,0
support citra seni mandiri jogja semoga sukses,0
madang gudeg kulon tugu,0
aku nonton depan sendiri,0
bekasi hadirrrr,0
wayang nya kapan yaaa,0
selamat ulang tahun untuk yogyakartaku damai dan rukun selalu,0
mlm jogjaku,0
mas kamera master shot sing ngeshot tugu miring tulunggg wwkwkwk,0
wihh,0
sayang kemaren langsung pergi ngerantau jadi gak bisa nonton,0
woawww,0
aku nonton seko ngomah,0
seru nihh,0
tangerang selatan hadirr,0
happy birthday jogja,0
knp ya aku orang jogja pengen nonton wayang itu bukan karena wayang nya nyuman enak aja tuh liat tugu jogja nya grinning face with sweat,0
lag,0
ponorogo hadir,0
ini tayang di tv gak ya,0
delok disambi kerjo,0
plokk,0
nonton ngomah wae sambi rebahan ra resiko beaming face with smiling eyes,0
gunungkidul rongkop hadir,0
yang jetis itu urutan ke brp,0
situbondo hadir,0
kok mandeg,0
selamat hut ke kota jogjakarta,0
aku nonton depan sendiri,0
waauuuww kereeenn,0
jetis ke,0
aku nonton youtube aja,0
admin nya jangan ngelag dong,0
tegalrejo urutan berapa,0
selamat ulang tahun jogja,0
kii widodho darmoko lkn jatim mengucapkan selamat ukses,0
sayang aku gak liat langsung,0
pengen rono neng kok rame moai,0
mergangsan ke berapa ya tampilnya,0
aku di janti nich,0
selamat ulang tahun jogja istimewa sparkles,0
rasah melu uyuk an cukup secangkir kopi pahit d thelo goreng mempur terasa nonton live face with tears of joy,0
mlebu jam wis kebak trs metu jam macete pol,0
sugeng ambal warso ngayogyakarta kota penuh cinta dan rindu untuk kembali red heart red heart red heart,0
yang dapet paling depan itu kesitu jam berapa ya,0
nntn d sini aja lah mau kesana malah gatot,0
barakallah jogjaku smiling face with hearts,0
yg liat mba reni sm dian suruh balik lagi ke toko bakpia ne masih akeh,0
plok teplok,0
aku nonton depan sendiri,0
buset ini depan rumah ku mau ke indomaret rame bet jir macet grinning face with sweat,0
baguuuss jogja istimewa,0
nderek mangayubagyo dinten dumadining kutho ngayogyakarto hadiningrat,0
mw ksna gada tmn,0
aku nontn di depan sendiri sambil rebahan sambil ngopi,0
kampung ku itu sumatra barat,0
keren banget,0
selamat ulangtahun jogja semoga semakin maju dan warganya semakin sejahtera,0
lagu nya enak banget,0
dari sisi timur ngak ada monitor jadi nya nonton penonton,0
kampung di sumatra barat tinggal di jogja udh resmi orang jogja lahir di jogja tapi asli orang minang,0
sudah mulai kah,0
hand pink waving,0
dari jam,0
nonton lautan orang,0
salam buat kak hari di wates met istirahat hand pink waving,0
nonton live sambil rebahan plus ngopi wenaak,0
selamat ulangtahun kota ku tercinta kota jogja adalah kota batik yang banyak wisatanya,0
perbatasan hadir,0
baru urutan keberapa itu mas mbak,0
km adek mama bs pake rolling on the floor laughing,0
assalamualaikum,0
jogja tetap istimewa,0
cicii delok ra kii hhe,0
kota batik kota pelajar bukanya,0
selamat ulang taun jogja semoga tetap istimewa,0
jogja istimewa bangga lahir besar di kota pelajar berbudaya,0
jogja kota ternyaman jogja selalu istimewa sugeng ambal warso jogjaku smiling face with hearts,0
pengen nonton tapi males desek an mana pasukan krucil q banyak lagi rolling on the floor laughing rolling on the floor laughing,0
nonton lewat tv aja sambil ngmil,0
wah pas udah di semarang malah ada hut jogja sayang sekali,0
ak nonton lewat tv sama hp,0
selamat ulang tahun jogjaaa smiling face with hearts kota yang penuh kenangan buat aku terimakassiii smiling face with hearts salam juga buat doi yang ada d jogja sukses dan semangat yaa red heart,0
kangen jogja,0
wes persiapan tepat sampah rung iki,0
rame pol,0
selamat ulang tahun jogja red heart,0
isane delok seko omah,0
selamat ulang tahun kota yogya,0
ki widodho darmoko drs publisistik lkn jw timur mengucapkan elamat dirgahayu yogya,0
gedongtengen urutan kbrp,0
ponorogo hadir,0
lgi nginep dket tugu ksna sesek,0
luar biasa hand pink waving,0
mantap pengunjungnya ramai sekali sengaja datang dari tasikmalaya bersama keluarga,0
jogja hadir,0
suarane hilang,0
nuwun kang yu ngadmin kami bisa tetep nonton tanpa meninggalkan tugas,0
ak lagi nonton,0
shaking face shaking face shaking face shaking face bagus bgt,0
bujang anom,0
rame lurr,0
sugeng ambal warsa kota jogja ku,0
meh nonton lngsung wegah le uyek an taun wingi okeh sek pingsan mesakne,0
uwa,0
jam segini kesitu masih keliatan ga ya atau kebagian macet doang,0
uyeeeeee grinning face with sweat,0
kebagian macey,0
macet doang,0
orang udah pada dateng dari jam sore mba,0
tribun ada yang hd engga,0
macettt,0
kebagian macet aja jam segini kesituu,0
macetcetcet,0
buset macet bet dah lah ga jadi kesana mending ke bioskop aja relieved face,0
sugeng ambal warsa kagem yogyakarta best wishes for land who i satnd till now two hearts,0
rame bet,0
info parkir mobil di mana ngeh,0
kenapa itu,0
lkn lembaga kebudayaan nasional jawa timur ukes diy merdeka,0
pengab banget pas dulu nonton,0
enak streaming aja dirumah sambil rebahan face with tears of joy,0
sudah pernah nonton yg thn thn skrg nonton via youtube wae hehe semoga jogja tetap istimewa,0
pemaine transit ngendi lek,0
ahhh jadi ingat lagunya,0
enak meneh nonton neng hp karoan tv grinning face with smiling eyes beaming face with smiling eyes,0
nang kene ketok jelas,0
jadi inget pas nonton thn helmku sampe ilang di parkiran face with tears of joy,0
seru banget di ultah jogja,0
streaming dari tangerang sukses selalu,0
info parkir mobil ten pundi ngeh,0
keren keren,0
lakon opo iki,0
weh apik men,0
streaming dr semarang kemarin waktu di sleman gk tau kalo ada event hut jogja,0
le nyoting alon di nikmati,0
bbagus,0
nonton neng ngomah karo nopi eenake pol,0
rrrrooooo,0
masih mending mbak liya lah aku ketinggalan sama mas ku aku tersesat hampir saja ketemu saat aku ke tempat jajanan tanpa sama polisi grinning face with sweat relieved face,0
lek nyuting bingung saking ramene,0
info sampai jam brapa ya,0
yogyakarta adalah ibu kota kebudayaan,0
selamat ultah kota jogjakarta tercinta,0
nenxt tahun ngarep nonton,0
pengen ndono tapi macet puolll,0
yg lain mana,0
padet bangat eyyy,0
alpien ada yg hadirkah,0
sugeng ambal warsa yogyakarta smiling face with hearts,0
hbddd jogzzz giveaway tikettttt keretaa balekk jogzz dongg jogzz xixixi,0
nonton disitu bisa masuk susah keluar,0
enakan streaming aja sambil ngeteh grinning squinting face pdhl dekat sama rumah,0
penampilan yg inti nya mana,0
ga bisa nonton disana dilive ajaa grinning face with big eyes grinning face with big eyes,0
selamat ulang tahun jogja ku,0
pengen kesana tapi tugas masih banyak loudly crying face loudly crying face loudly crying face loudly crying face,0
wow,0
ojo do buang sampah sembarangan yo lek,0
wong jowo seneng nonton ngeneki person turqouise waving,0
enak nonton langsung bisa jajan macem face with rolling eyes,0
sama aku besok sekolah pengen sih,0
la nungu berapa lama,0
es es esss,0
sudah selesai tuh,0
elamat ukses diy uri uri kabudayan nusantara lkn lembaga kebudayaan nasional,0
mantrijeron nomer berapa,0
anak kost mending rebahan dari pada macet,0
kemantren umbol harjo,0
bare kapan nggeh,0
acaranya sampe jam,0
keren kota kelahiranku aku disini yogya pancen istimewa thumbs up red heart,0
salam dari papua,0
face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out face fuchsia tongue out,0
ini selesai blm,0
face turquoise covering eyes,0
belum,0
hand pink waving,0
lahir besar di jogja prantauan di papua,0
hand purple blue peace,0
bubar,0
jogja memang istimewa,0
face purple smiling fangs,0
body green covering eyes body green covering eyes body green covering eyes,0
hand pink waving hand pink waving,0
face blue question mark face blue question mark,0
mending liat di live di sana rame,0
mantaps seniman seniwati jogja,0
person turqouise waving person turqouise waving person turqouise waving clock turquoise looking up face orange tv shape,0
sholat duluu,0
ini blom selesai kan ya,0
face fuchsia poop shape,0
penguin blue waving tear,0
ini baru istirahat kan,0
nan,0
sholat,0
kaum rebahan ndelok live wae timbang ra komanan tempat,0
iya,0
dari gk nonton dari hp,0
woi lamaa,0
otw,0
halo,0
acara utamanya belum kok,0
ternyata ada streamingnyaa,0
baru mulai yakali selesai,0
istirahat dulu kayaknya,0
dah selesai kah,0
kapan le mulai,0
ohh ini pada istirahat,0
lagi istirahat ya,0
males jalannya jauh dari parkiran motor,0
males liat ke lokasi wkwkwk,0
jogja kota penuh kangenin,0
sholatt,0
gunung kidul hadir,0
selamat dan sukses selalu untuk jogja,0
pada ke situ ga,0
sampe jam berapa sih,0
yogyakarta memang istimewa selamat ulang tahun partying face partying face smiling face with hearts smiling face with hearts smiling face with hearts,0
setahu saya itu dibaca ke bukan hastag atau memang ada kaidah aturan baru bahasa indonesia,0
face orange tv shape clock turquoise looking up buffering buffering buffering buffering yt shelterin hydrate,0
jogja memang istimewa bangga jogja bangga indonesia,0
naik heli lihat dari atas boleh ga,0
elbowcough elbowcough elbowcough face purple crying,0
face red heart shape face red heart shape face red heart shape face red heart shape,0
aku sambil buka tv,0
ini yang keberapa,0
sleman hadir,0
istirahat po,0
nyimak seko karawang,0
bangka belitung hadir,0
dr jm smpe jam p,0
iya,0
sek wong jogja asli mah ra delok mergo rame wkwk,0
ini yang ke,0
berbah,0
ini kayanya nunggu selesai adzan,0
kira lanjutnya kapan,0
lamanya,0
persiapan,0
kiumpul yuk kita otw bareng,0
pusing nonton di mobil,0
dari kost cuma menit jalan kaki tp males mau keluar hehe,0
atau istirahat mungkin,0
wah sangat bagus,0
sabar guysss,0
bener wong jogja malah nengumah wae pie ki,0
sleman hadir menonton hut jogja,0
selamat ultah jogja mugi umr e ditambah karo tpa mulai dipikir nek pengen tambah maju wisatane wes kangelan mbuang sampah kie masyarakat jogja,0
elbowcough siap siap,0
kok suwi mas,0
sek asli wong jogja milih nonton live streaming ae karo ngopi ayem wes rolling on the floor laughing,0
gozali betull,0
nunggu sholat kayaknya,0
met ultah jogja love jogja and you smiling face with heart eyes,0
rasya regita,0
yang kemarin aku nonton gabisa keluar,0
eyes purple crying,0
kapan ya mulai lagi,0
shalat woyyyy chats stops,0
uui,0
istirahat sholat,0
gas,0
bisa masuk keluar susah,0
sedihnya ga di bolehin nntn lgsg,0
gatak hadir,0
sebentar lagi,0
love jogja and you smiling face with heart eyes,0
setelah sholat isya,0
selamat ulang tahun kota jogja,0
lagi nyeritain,0
tinggal di pakualaman tp tetep milih nonton di yt daripada ke yt wkwkwkkw,0
we lungguh,0
kaum rebahan liat live ajahhh timbang macet,0
habis itu capcus,0
aku sng asli jogja arep ndelok tp rasido mrgo rame,0
selamat ulang tahun yogyakarta semoga jogja makin jaya dan sukses kota nya,0
biasanya jm bar sholat isyak kk mulai nya,0
yg di depan duduk dong,0
isoma,0
yang dekat aja malas keluar mendi g nonton gini nggk uyek an,0
ga bisa berangkat soalnya sekolah loudly crying face loudly crying face,0
kok di tv ga ada,0
baru ini gue ntn siaran langsung biasa dtang nonton langsung kerja kehalangan kerjaan masuk siang,0
di tv ada ko,0
yailah,0
males desak an banyak yg pingsan,0
met ultah jogjaku partying face,0
sukses trus untuk yogyakarta,0
di tv ada kak,0
rumah deket tp nntn di youtube grinning face with sweat grinning face with sweat,0
chenel ap,0
tv mana kak,0
kapan mulai,0
lama bgt buset,0
hbd jogjaa semoga makin sukses kotanya yaa partying face,0
pong,0
kemarin nonton rame bngt raiso obah blas mana raketok sekarang cari aman nonton live,0
menyala wangun dab fire fire fire,0
hadir,0
